               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11406,            0.046828,            0.061684,           0.0090008,            0.034137,           0.0075866,           0.0014705,             0.10086,            0.031012,            0.055059,              0.0021,              0.0021,              0.0811
                   1,            0.095856,            0.047539,            0.051633,             0.53281,             0.16594,             0.10774,            0.033295,            0.090195,            0.022729,            0.046661,           0.0042574,           0.0042574,            0.061257
                   2,             0.09391,            0.036939,            0.046072,              0.3296,             0.15124,            0.064909,            0.014666,            0.091843,            0.017787,            0.042116,           0.0063713,           0.0063713,            0.041371
                   3,            0.090573,            0.036316,            0.042694,             0.48381,             0.19708,              0.1018,            0.024913,            0.088413,            0.017118,            0.038034,           0.0084416,           0.0084416,            0.021442
                   4,            0.082479,             0.03558,             0.03936,             0.50238,             0.31237,             0.14402,            0.032849,            0.081591,            0.019612,             0.03419,            0.009604,            0.009604,            0.009604
                   5,            0.075641,            0.034023,            0.036176,             0.54473,             0.42937,             0.24338,            0.075086,            0.073197,            0.019278,            0.032332,            0.009604,            0.009604,            0.009604
                   6,            0.072876,            0.035824,            0.033121,             0.58593,             0.27738,             0.19292,            0.051792,            0.078261,            0.021513,            0.028497,            0.009505,            0.009505,            0.009505
                   7,            0.068208,            0.033571,            0.029412,             0.64805,             0.39106,             0.30418,            0.070213,            0.070833,             0.02081,            0.024343,            0.009406,            0.009406,            0.009406
                   8,            0.065971,            0.033274,            0.028637,             0.60649,             0.24882,             0.20879,            0.043349,            0.079358,            0.017651,            0.023364,            0.009307,            0.009307,            0.009307
                   9,             0.06618,            0.033074,            0.027073,             0.82734,             0.38798,             0.47724,             0.15395,             0.06244,            0.016297,            0.023799,            0.009208,            0.009208,            0.009208
                  10,            0.063923,            0.032341,            0.025923,             0.29959,             0.32976,             0.18256,            0.039478,             0.07576,            0.016944,            0.033415,            0.009109,            0.009109,            0.009109
                  11,            0.060073,            0.032332,            0.024843,             0.75884,             0.37018,             0.38333,              0.1114,            0.066986,            0.015998,            0.025254,             0.00901,             0.00901,             0.00901
                  12,            0.060501,            0.032332,            0.023765,             0.75337,             0.33609,             0.36288,            0.090468,            0.068502,            0.015704,            0.026138,            0.008911,            0.008911,            0.008911
                  13,             0.05932,            0.031027,            0.022941,             0.85219,             0.44994,             0.51216,             0.17491,            0.059234,            0.015814,            0.021345,            0.008812,            0.008812,            0.008812
                  14,            0.059029,            0.030076,             0.02265,              0.6208,             0.36448,             0.28365,            0.057146,             0.07398,            0.016159,            0.020759,            0.008713,            0.008713,            0.008713
                  15,            0.056677,            0.030225,            0.022006,             0.65199,             0.32406,             0.27624,            0.056744,            0.076157,            0.016677,            0.020531,            0.008614,            0.008614,            0.008614
                  16,            0.058082,            0.029805,            0.021257,             0.63839,             0.52163,             0.51174,             0.16313,            0.061015,            0.015274,            0.019735,            0.008515,            0.008515,            0.008515
                  17,            0.055894,            0.031458,            0.020476,             0.81794,             0.57158,             0.57198,             0.20363,            0.057125,            0.015374,            0.019158,            0.008416,            0.008416,            0.008416
                  18,            0.056379,            0.028987,            0.019922,             0.87217,             0.51288,             0.52746,             0.17485,            0.059607,            0.015549,            0.021107,            0.008317,            0.008317,            0.008317
                  19,            0.054726,            0.029031,            0.018998,             0.60659,             0.46343,             0.42152,             0.11818,            0.064436,            0.014636,            0.021494,            0.008218,            0.008218,            0.008218
                  20,            0.054866,            0.028534,            0.018488,             0.51823,             0.35738,             0.28986,            0.065485,            0.074196,            0.015399,            0.024273,            0.008119,            0.008119,            0.008119
                  21,            0.054942,            0.028697,            0.018171,             0.89555,             0.51097,             0.55377,             0.18532,            0.058807,            0.014278,            0.019535,             0.00802,             0.00802,             0.00802
                  22,            0.053486,            0.028618,            0.018711,             0.79708,             0.42935,             0.45945,              0.1144,            0.068326,            0.015219,            0.019112,            0.007921,            0.007921,            0.007921
                  23,            0.053276,            0.029032,            0.017444,             0.61051,             0.47356,             0.44364,              0.1356,            0.063843,            0.015073,            0.018754,            0.007822,            0.007822,            0.007822
                  24,            0.052643,            0.028362,            0.016724,             0.68572,             0.52261,             0.53729,             0.19316,            0.057141,            0.014542,            0.019027,            0.007723,            0.007723,            0.007723
                  25,            0.051259,            0.028505,            0.016732,             0.72198,             0.56043,             0.54981,             0.20164,            0.057461,             0.01445,             0.01944,            0.007624,            0.007624,            0.007624
                  26,            0.051921,            0.028401,            0.015934,             0.67063,             0.56323,             0.52704,             0.17548,            0.058038,            0.014371,            0.019571,            0.007525,            0.007525,            0.007525
                  27,             0.05094,            0.027395,             0.01636,             0.60771,             0.50712,             0.45494,             0.11019,            0.066428,            0.014377,            0.020859,            0.007426,            0.007426,            0.007426
                  28,            0.050671,             0.02813,            0.015314,             0.65122,             0.48419,             0.45991,             0.14033,            0.062753,            0.014932,            0.017522,            0.007327,            0.007327,            0.007327
                  29,            0.049096,             0.02698,            0.014842,             0.64077,             0.53546,             0.45985,             0.14164,            0.063389,             0.01498,            0.019669,            0.007228,            0.007228,            0.007228
                  30,            0.050717,            0.026796,            0.014389,             0.72426,             0.55194,             0.53529,             0.16217,            0.060461,            0.014725,            0.020603,            0.007129,            0.007129,            0.007129
                  31,            0.049111,            0.027266,            0.014055,             0.69515,             0.49862,              0.4834,             0.13489,            0.064437,            0.014606,            0.019526,             0.00703,             0.00703,             0.00703
                  32,             0.04803,            0.027567,            0.014317,             0.72297,             0.58257,             0.55647,             0.18165,            0.058896,            0.014585,            0.018358,            0.006931,            0.006931,            0.006931
                  33,            0.048102,            0.027529,            0.013478,             0.70524,             0.57913,             0.55416,             0.15294,             0.06171,            0.015027,            0.017751,            0.006832,            0.006832,            0.006832
