               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11209,            0.046081,            0.060802,             0.56795,            0.096239,            0.010878,           0.0021388,            0.099044,            0.031468,            0.051877,              0.0023,              0.0023,              0.0793
                   1,            0.093934,            0.041931,            0.048657,             0.53366,             0.17921,            0.099493,            0.024606,            0.087642,            0.021716,            0.044351,           0.0046535,           0.0046535,            0.057653
                   2,            0.097253,            0.030434,            0.042863,             0.51078,             0.18964,            0.064618,            0.017576,            0.089614,            0.018148,            0.039046,           0.0069594,           0.0069594,            0.035959
                   3,            0.087739,            0.029258,            0.037032,             0.60124,             0.19896,             0.13915,            0.036239,            0.076375,            0.018062,            0.033655,           0.0092178,           0.0092178,            0.014218
                   4,             0.07901,            0.029631,            0.032181,              0.6318,             0.33589,              0.2548,               0.068,            0.073362,            0.017873,            0.029121,            0.009604,            0.009604,            0.009604
                   5,            0.070972,            0.027843,            0.028432,             0.60779,             0.48012,             0.37177,             0.12324,            0.066359,            0.017973,            0.027337,            0.009604,            0.009604,            0.009604
                   6,            0.064442,            0.026196,            0.025177,             0.78724,             0.41461,             0.47132,             0.18311,            0.056992,            0.016196,             0.02325,            0.009505,            0.009505,            0.009505
                   7,            0.061052,            0.025137,            0.023023,             0.78686,             0.53094,             0.53724,              0.2229,            0.054768,            0.013944,            0.019696,            0.009406,            0.009406,            0.009406
                   8,            0.058954,              0.0245,            0.021033,             0.74225,             0.60875,             0.59915,             0.27533,            0.054333,            0.014675,            0.019855,            0.009307,            0.009307,            0.009307
                   9,            0.055057,            0.024191,             0.02007,             0.65313,             0.65291,             0.61183,             0.28255,            0.051751,            0.014173,            0.021452,            0.009208,            0.009208,            0.009208
                  10,            0.053453,             0.02325,            0.018706,             0.61479,             0.65821,              0.6191,             0.31507,            0.048886,            0.014195,            0.020143,            0.009109,            0.009109,            0.009109
                  11,            0.052325,            0.023102,            0.018299,             0.75557,             0.65994,             0.68274,             0.34085,            0.048235,            0.013418,            0.017869,             0.00901,             0.00901,             0.00901
                  12,            0.051187,            0.022452,            0.017605,             0.85027,             0.66749,             0.70582,             0.37392,            0.046928,            0.013042,            0.018324,            0.008911,            0.008911,            0.008911
                  13,            0.048546,            0.022882,            0.016472,             0.78598,             0.62388,             0.63193,             0.30513,            0.047208,            0.013422,            0.018139,            0.008812,            0.008812,            0.008812
                  14,            0.048026,             0.02207,            0.016171,             0.85454,             0.61412,             0.69016,             0.36726,            0.047655,            0.013572,            0.018807,            0.008713,            0.008713,            0.008713
