               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10251,            0.043518,            0.057203,            0.071522,                   1,              0.1046,            0.046957,             0.09153,            0.030858,            0.041538,            0.003252,            0.003252,            0.070732
                   1,            0.087965,            0.031784,            0.042981,             0.43108,                   1,             0.71071,             0.31998,            0.079699,            0.022338,            0.031057,           0.0065419,           0.0065419,            0.040688
                   2,            0.079004,            0.027339,            0.036319,             0.44207,                   1,             0.87595,             0.41475,            0.087028,            0.028032,            0.017649,           0.0097878,           0.0097878,            0.010601
                   3,            0.068425,            0.027019,            0.030463,             0.57575,             0.83333,              0.8125,             0.17263,            0.058667,            0.025825,             0.01132,            0.009802,            0.009802,            0.009802
                   4,            0.058044,            0.025122,            0.024946,              0.5786,             0.83333,             0.74786,             0.29069,            0.062206,            0.022256,            0.010062,            0.009802,            0.009802,            0.009802
                   5,            0.053791,            0.024401,            0.022419,             0.98357,                   1,               0.995,             0.43149,            0.049287,            0.018972,            0.010296,            0.009736,            0.009736,            0.009736
                   6,            0.051914,            0.023764,            0.020578,              0.9546,                   1,               0.995,               0.498,            0.055484,            0.017808,           0.0089211,             0.00967,             0.00967,             0.00967
                   7,            0.050282,            0.023239,            0.019361,             0.93625,                   1,               0.995,             0.43165,            0.052445,            0.023483,            0.010533,            0.009604,            0.009604,            0.009604
                   8,            0.047983,             0.02297,            0.017656,             0.97029,                   1,               0.995,             0.36483,            0.058689,            0.022935,           0.0086989,            0.009538,            0.009538,            0.009538
                   9,            0.046597,            0.023165,            0.016843,             0.99257,                   1,               0.995,             0.58056,            0.048306,            0.021684,           0.0090089,            0.009472,            0.009472,            0.009472
                  10,            0.045122,            0.021065,            0.015538,             0.95509,                   1,               0.995,             0.63017,            0.038323,            0.017096,           0.0066676,            0.009406,            0.009406,            0.009406
                  11,             0.04531,            0.021766,             0.01539,             0.91189,                   1,               0.995,             0.64732,            0.033079,            0.017296,            0.011219,             0.00934,             0.00934,             0.00934
                  12,            0.043346,            0.021161,            0.014308,             0.97497,                   1,               0.995,              0.5669,             0.04459,            0.018092,           0.0068007,            0.009274,            0.009274,            0.009274
                  13,            0.042966,              0.0216,            0.013582,             0.94162,                   1,               0.995,             0.61421,            0.036737,            0.017809,           0.0067568,            0.009208,            0.009208,            0.009208
                  14,             0.04338,            0.020706,            0.013312,             0.95677,                   1,               0.995,              0.6809,            0.033943,            0.016756,           0.0065005,            0.009142,            0.009142,            0.009142
                  15,            0.042006,             0.02132,             0.01308,             0.97546,                   1,               0.995,             0.56775,            0.039605,            0.018907,            0.006417,            0.009076,            0.009076,            0.009076
                  16,            0.041431,            0.020904,            0.012778,             0.97209,             0.99945,               0.995,              0.4708,            0.045049,            0.018021,           0.0065265,             0.00901,             0.00901,             0.00901
                  17,            0.041474,            0.020581,            0.012178,             0.95737,                   1,               0.995,             0.63155,            0.035774,            0.018934,           0.0062709,            0.008944,            0.008944,            0.008944
                  18,            0.041112,            0.020494,            0.012143,             0.98225,                   1,               0.995,             0.44982,             0.05081,            0.017372,           0.0074096,            0.008878,            0.008878,            0.008878
                  19,            0.039891,            0.019517,            0.011696,             0.97511,             0.99946,               0.995,             0.56521,            0.039488,            0.019824,           0.0055784,            0.008812,            0.008812,            0.008812
                  20,            0.038771,            0.019604,            0.011164,             0.96473,                   1,               0.995,             0.61617,            0.034811,            0.017182,           0.0053841,            0.008746,            0.008746,            0.008746
                  21,            0.038833,            0.020064,            0.011036,             0.96182,                   1,               0.995,             0.71385,            0.033214,            0.015945,           0.0043921,             0.00868,             0.00868,             0.00868
                  22,            0.039202,            0.019393,            0.011025,             0.96935,                   1,               0.995,              0.6809,            0.032054,            0.018016,           0.0057914,            0.008614,            0.008614,            0.008614
                  23,            0.037771,            0.019081,            0.010895,             0.96463,                   1,               0.995,              0.6965,            0.038327,            0.014623,            0.005323,            0.008548,            0.008548,            0.008548
