               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10572,            0.044084,            0.058107,            0.089548,              0.6479,             0.12505,            0.018377,             0.09762,            0.039222,            0.039579,            0.003252,            0.003252,            0.070732
                   1,            0.093305,            0.032978,             0.04564,             0.49968,             0.33333,             0.39077,             0.10946,            0.089659,            0.024618,            0.028676,           0.0065419,           0.0065419,            0.040688
                   2,            0.083889,            0.030925,            0.039666,             0.31688,             0.99994,             0.63556,             0.16339,            0.076273,            0.021913,            0.026668,           0.0097878,           0.0097878,            0.010601
                   3,            0.072983,             0.02804,            0.033999,             0.56683,                   1,             0.88444,             0.51987,            0.050212,            0.029449,             0.01703,            0.009802,            0.009802,            0.009802
                   4,            0.065221,            0.027416,            0.028813,             0.73931,                   1,               0.995,             0.43965,            0.057353,            0.022857,            0.011022,            0.009802,            0.009802,            0.009802
                   5,            0.060206,             0.02547,            0.025243,             0.87751,                   1,               0.995,             0.39815,            0.053617,            0.018839,           0.0093781,            0.009736,            0.009736,            0.009736
                   6,             0.05625,            0.025341,            0.023473,             0.71612,                   1,             0.93944,             0.46972,            0.053278,            0.019278,            0.010997,             0.00967,             0.00967,             0.00967
                   7,             0.05508,            0.025434,            0.022028,             0.86949,                   1,               0.995,             0.61367,            0.039862,            0.017201,           0.0080924,            0.009604,            0.009604,            0.009604
                   8,            0.053305,            0.023965,            0.020241,             0.95825,                   1,               0.995,              0.4975,            0.042816,            0.017595,            0.010539,            0.009538,            0.009538,            0.009538
                   9,            0.052493,            0.024264,             0.01996,             0.97912,                   1,               0.995,             0.61449,            0.040486,            0.016857,           0.0085299,            0.009472,            0.009472,            0.009472
                  10,            0.049816,            0.023905,            0.018705,              0.9826,                   1,               0.995,             0.63212,            0.042342,             0.01778,            0.010124,            0.009406,            0.009406,            0.009406
                  11,             0.04972,            0.023858,            0.017921,             0.98982,                   1,               0.995,             0.60603,            0.039188,            0.015837,           0.0087064,             0.00934,             0.00934,             0.00934
                  12,            0.048075,            0.023045,            0.017394,             0.98422,                   1,               0.995,             0.34117,            0.053424,            0.018413,            0.008197,            0.009274,            0.009274,            0.009274
                  13,            0.047884,            0.022692,            0.016654,             0.97813,                   1,               0.995,             0.54794,            0.040651,            0.019429,           0.0091131,            0.009208,            0.009208,            0.009208
                  14,            0.046696,            0.023256,            0.016026,             0.96565,                   1,               0.995,             0.46587,            0.051014,            0.020933,           0.0093263,            0.009142,            0.009142,            0.009142
                  15,            0.046199,             0.02268,            0.014941,             0.99431,                   1,               0.995,              0.4647,            0.044981,            0.019126,           0.0080358,            0.009076,            0.009076,            0.009076
                  16,             0.04464,            0.021771,            0.014971,             0.99198,                   1,               0.995,             0.49104,            0.045654,            0.017137,           0.0058818,             0.00901,             0.00901,             0.00901
                  17,            0.045075,            0.022589,            0.014074,             0.98034,                   1,               0.995,             0.64738,            0.039674,            0.018221,           0.0064349,            0.008944,            0.008944,            0.008944
                  18,            0.045609,            0.021587,            0.013715,              0.9793,                   1,               0.995,             0.65058,            0.037127,            0.017685,            0.006501,            0.008878,            0.008878,            0.008878
                  19,            0.043566,            0.021816,            0.013307,             0.99182,                   1,               0.995,             0.50017,            0.041357,            0.020279,            0.007487,            0.008812,            0.008812,            0.008812
                  20,            0.042701,            0.021606,            0.012944,             0.97782,                   1,               0.995,             0.43407,            0.047413,            0.018646,           0.0067301,            0.008746,            0.008746,            0.008746
                  21,            0.042851,            0.021191,            0.012713,             0.98001,                   1,               0.995,             0.46683,            0.049843,            0.018659,            0.006817,             0.00868,             0.00868,             0.00868
                  22,            0.042479,            0.021212,            0.012818,             0.97967,                   1,               0.995,             0.48161,            0.045287,            0.017015,           0.0060406,            0.008614,            0.008614,            0.008614
                  23,            0.042002,            0.020837,            0.012222,             0.99303,                   1,               0.995,             0.49917,            0.043306,            0.020588,           0.0059543,            0.008548,            0.008548,            0.008548
                  24,            0.042712,            0.020471,            0.011849,             0.97346,                   1,               0.995,              0.4512,            0.055072,            0.022653,            0.009319,            0.008482,            0.008482,            0.008482
                  25,            0.041496,            0.020574,            0.011583,             0.99135,                   1,               0.995,             0.58138,            0.043865,            0.019523,           0.0053181,            0.008416,            0.008416,            0.008416
                  26,            0.041571,            0.020787,            0.011659,             0.99437,                   1,               0.995,             0.48183,            0.042947,            0.019887,           0.0071149,             0.00835,             0.00835,             0.00835
                  27,            0.040485,             0.01972,            0.011317,             0.99292,                   1,               0.995,              0.6152,            0.039924,            0.019386,           0.0056366,            0.008284,            0.008284,            0.008284
